insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
DiPerna Dino,SVP Global R&D,2025-12-20,2025-12-23,1783,230.34,410696.22,D,F,55846,False,False,True,0001998460-25-000021,https://www.sec.gov/Archives/edgar/data/936395/000199846025000021/0001998460-25-000021.txt
DiPerna Dino,SVP Global R&D,2025-12-20,2025-12-23,2050,230.34,472197.0,D,F,53796,False,False,True,0001998460-25-000021,https://www.sec.gov/Archives/edgar/data/936395/000199846025000021/0001998460-25-000021.txt
DiPerna Dino,SVP Global R&D,2025-12-20,2025-12-23,1401,230.34,322706.34,D,F,52395,False,False,True,0001998460-25-000021,https://www.sec.gov/Archives/edgar/data/936395/000199846025000021/0001998460-25-000021.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2025-12-20,2025-12-23,441,230.34,101579.94,D,F,72501,False,False,True,0001963638-25-000017,https://www.sec.gov/Archives/edgar/data/936395/000196363825000017/0001963638-25-000017.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2025-12-20,2025-12-23,182,230.34,41921.88,D,F,72319,False,False,True,0001963638-25-000017,https://www.sec.gov/Archives/edgar/data/936395/000196363825000017/0001963638-25-000017.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2025-12-20,2025-12-23,582,230.34,134057.88,D,F,71737,False,False,True,0001963638-25-000017,https://www.sec.gov/Archives/edgar/data/936395/000196363825000017/0001963638-25-000017.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2025-12-20,2025-12-23,332,230.34,76472.88,D,F,71405,False,False,True,0001963638-25-000017,https://www.sec.gov/Archives/edgar/data/936395/000196363825000017/0001963638-25-000017.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2025-12-20,2025-12-23,269,230.34,61961.46,D,F,71136,False,False,True,0001963638-25-000017,https://www.sec.gov/Archives/edgar/data/936395/000196363825000017/0001963638-25-000017.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2025-12-20,2025-12-23,5644,230.34,1300038.96,D,F,65492,False,False,True,0001963638-25-000017,https://www.sec.gov/Archives/edgar/data/936395/000196363825000017/0001963638-25-000017.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2025-12-20,2025-12-23,1382,230.34,318329.88,D,F,64110,False,False,True,0001963638-25-000017,https://www.sec.gov/Archives/edgar/data/936395/000196363825000017/0001963638-25-000017.txt
